country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Afghanistan,AF,AFG,4,Exclusively Breastfed for the First Two Days After Birth,2015,55.3,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Afghanistan,AF,AFG,4,Exclusively Breastfed for the First Two Days After Birth,2015,53.3,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Afghanistan,AF,AFG,4,Exclusively Breastfed for the First Two Days After Birth,2015,54.3,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Albania,AL,ALB,8,Exclusively Breastfed for the First Two Days After Birth,2009,76.0,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Albania,AL,ALB,8,Exclusively Breastfed for the First Two Days After Birth,2017,70.7,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Albania,AL,ALB,8,Exclusively Breastfed for the First Two Days After Birth,2009,81.5,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Albania,AL,ALB,8,Exclusively Breastfed for the First Two Days After Birth,2017,72.8,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Albania,AL,ALB,8,Exclusively Breastfed for the First Two Days After Birth,2009,79.1,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Albania,AL,ALB,8,Exclusively Breastfed for the First Two Days After Birth,2017,71.8,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Algeria,DZ,DZA,12,Exclusively Breastfed for the First Two Days After Birth,2019,40.4,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Algeria,DZ,DZA,12,Exclusively Breastfed for the First Two Days After Birth,2019,39.2,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Algeria,DZ,DZA,12,Exclusively Breastfed for the First Two Days After Birth,2012,39.4,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Algeria,DZ,DZA,12,Exclusively Breastfed for the First Two Days After Birth,2019,39.8,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
